date,category,published_date,site_name,url,title,summary,region,score_ag,keywords,reward,rl_score
2026-04-03,Daily,2026-04-02 20:06:00,Naver News,https://www.medicaltimes.com/Main/News/NewsView.html?ID=1168069&ref=naverpc,"제바협, 비대위→'협의체' 검토…약가 충격 최소화 총력전","제약바이오협회 한 관계자는 ""항생제, 수액제 등까지 모든 품목에 동일한 잣대를 들이대는 것은 적절치 않다는 의견이 높다""면서 ""이밖에도 타 국가들과의 약가 차이부터 CSO업체 관련 쟁점 등 추가적인 논의가 필요할... ",local,5,CSO,,
2026-04-03,Daily,2026-04-02 19:28:00,Naver News,https://www.thelec.kr/news/articleView.html?idxno=54542,'일라이릴리 vs. 노보노디스크'…먹는 비만약 승부수,노보노디스크는 올해 1월 경구용 비만치료제 '위고비 필'을 출시하며 선점 효과를 누렸다. 위고비 필은 평균 약 14~16% 수준의 체중 감소 효과를 보인다. 다만 공복 상태에서 복용해야 한다. 일정 시간 음식 섭취를... ,local,5,위고비,,
2026-04-03,Daily,2026-04-02 18:58:00,Naver News,http://www.newsmp.com/news/articleView.html?idxno=252501,"한림대성심병원 김희성 교수팀, 위암 키우는 핵심 단백질 'UCHL1' 규명 外",내 난임 트레이닝센터 등 핵심 연구 시설을 둘러보며 한국의 첨단 교육ㆍ연구 인프라를 직접 체험했다.... 아울러 설립 65주년을 맞은 차병원ㆍ차바이오그룹이 난임 치료와 세포치료제 분야에서 한국 사회에 기여한... ,local,5,난임,,
2026-04-03,Daily,2026-04-02 18:54:00,Naver News,https://www.livebiz.today/news/articleView.html?idxno=201415,알약 비만치료제도 경쟁시대…일라이릴리도 미국서 승인받아,"덴마크 제약사 노보 노디스크가 지난 1월 미국에서 알약 형태의 위고비를 출시한 데 이어 미국 제약사... 가격은 최저 용량 기준 월 149달러(약 22만5000원)로, 경쟁사인 노보 노디스크의 위고비 알약과 가격이 같다.... ",local,5,위고비,,
2026-04-03,Daily,2026-04-02 18:42:00,Naver News,https://www.newsway.co.kr/news/view?ud=2026040218333120999,"진양곤, 투자자 앞에 섰다…HLB 통합 IR서 전략·신약 로드맵 제시","리보세라닙과 면역항암제 캄렐리주맙(camrelizumab)을 병용하는 방식으로, HLB는 이를 기반으로 미국 미국 식품의약국에 간암 1차 치료제 품목허가를 신청한 상태다. 다만 해당 허가는 파트너사인 항서제약이 두 차례... ",local,5,항암제,,
2026-04-03,Daily,2026-04-02 18:42:00,Naver News,http://www.hellodd.com/news/articleView.html?idxno=111354,[The Innovator] 15 신약으로 세계를 향한 깃발을 꽂다 '리가켐 바이오사...,"창업 후 수 년간 실패를 거듭해 오던 저분자 항암제 연구 존폐의 기로에서, 새 로운 기술로 떠오르던 ADC... 서울에서 내려오던 김용주 박사는 그 밤 박세진 팀장(당시)을 불러 창업 의사를 전했고, 이후 항암제, 항응고제... ",local,5,항암제,,
2026-04-03,Daily,2026-04-02 18:32:00,Naver News,https://www.elle.co.kr/article/1900087,한때 슬럼프였던 AKMU 이수현이 몸도 마음도 건강해진 비결,"과거와는 확연히 달라진 그의 체형 변화에 일각에서는 비만 치료제 '위고비' 사용설까지 제기되었지만, 이수현은 이를 단호하게 부인했죠. 그는 직접 자신의 SNS를 통해 ""위고비를 하지 않았다""고 명확히 밝히며... ",local,5,위고비,,
2026-04-03,Daily,2026-04-02 18:24:00,Naver News,https://www.bosa.co.kr/news/articleView.html?idxno=3002285,"요로상피암 치료제 '파드셉', 키트루다 병용요법으로 약평위 급여심의 ...",아스텔라스의 요로상피암 항암제인 파드셉(성분명 엔포투맙베도틴)이 키트루다(성분명 펨브롤리주맙)와... 파드셉은 Nectin-4를 표적으로 하는 항체-약물접합체(ADC) 항암제이다. 지난 2024년 7월 전이성 요로상피암... ,local,5,항암제,,
2026-04-03,Daily,2026-04-02 18:22:00,Naver News,https://www.sentv.co.kr/article/view/sentv202604020138,"경기도, 한의약정책지원단 출범",올해 2억 원의 사업비를 투입해 한의 재택돌봄 모델 구축과 한방 난임치료 정책 고도화 등을 추진할 계획이다. 특히 기존 난임지원사업 데이터를 기반으로 임상 근거를 강화하고 표준 진료체계를 마련한다는 방침이다. 또... ,local,5,난임,,
2026-04-03,Daily,2026-04-02 18:20:00,Naver News,https://www.etoday.co.kr/news/view/2572292,"진양곤 의장 ""항암제 연속 상업화 임박⋯적응증 확장 전략 준비됐다""","이 자리에서 진 의장은 ""3~4개월 안에 항암제의 연속 상업화를 볼 수 있을 것""이라며 ""영업이익을 지키기... 이어 ""리라푸그라티닙으로는 암종불문 항암제 임상을 5개국 19개 사이트에서 진행 중인데 7개 암에서 각각... ",local,5,항암제,,
2026-04-03,Daily,2026-04-02 18:19:00,Naver News,http://www.edaily.co.kr/news/newspath.asp?newsid=05487446645412184,셀트리온 오픈 이노베이션 3년 성과 보니…바이오텍 성장 '마중물',(사진=이데일리 홍주연 기자) 차세대 면역항암제 개발사 김맹섭 머스트바이오 대표는 2일 서울시 동대문구... 면역항암제의 한계를 극복하는 차세대 치료제를 개발하고 있다. 이번 계약을 통해 셀트리온은 PD-1 x VEGF x IL... ,local,5,항암제,,
